Date,ICICIPru_Dynamic_Plan,ICICIPru_Export_And_Services,Tata_Ethical_Fund,Principal_Growth_Fund,Birla_Equity_Fund,Birla_India_GenNext_Fund,HSBC_India_Opp_Fund,Reliance_Equity_Opp_Fund,SBI_Magnum_Multipler_Plus,Birla_Advantage_Fund,DSPBR_Opp_Fund,DWS_Inv_Opp_Fund,Franklin_India_FlexiCap,HDFC_Capital_Builder_Fund,Franklin_India_PrimaPlus,HDFC_Equity,SBI_Magnum_Multicap,Tata_Dividend_Yield,Taurus_Starshare,Tata_Equity_Opp_Fund,UTI_Service_Industries,Tata_Equity_PE,Birla_Dividend_Yield_Plus,HDFC_Premier_Multicap,Reliance_Growth_Fund,Reliance_Regular_Savings_Equity,HDFC_Core_Satellite_Fund,Reliance_Vision_Fund,HDFC_Growth_Fund,Franklin_India_Growth_Fund
01-12-2010,0.3945,0.1838,0.3251,0.1535,0.1683,0.4462,0.1385,0.4662,0.3241,0.1329,0.3417,0.1863,0.284,0.4594,0.2524,0.4876,0.0804,0.5214,0.3558,0.1092,0.18,0.1989,0.5277,0.3757,0.2702,0.296,0.4234,0.1905,0.4418,0.2665
03-01-2011,0.3408,0.1432,0.2376,0.1094,0.1094,0.3736,0.1255,0.3625,0.2185,0.103,0.2977,0.0931,0.2081,0.4016,0.2045,0.4055,0.0239,0.5009,0.2883,0.0222,0.1244,0.1762,0.455,0.3136,0.1677,0.2102,0.3823,0.1179,0.4094,0.2346
01-02-2011,0.135,0.0065,-0.0113,-0.0644,-0.0503,0.099,0.0335,0.1631,-0.0221,-0.0238,0.122,-0.0594,0.0772,0.1214,0.0401,0.183,-0.1133,0.1735,0.08,-0.1457,0.0174,-0.0046,0.1513,0.1008,-0.0214,0.0042,0.1459,0.0019,0.1307,0.0499
01-03-2011,0.1345,-0.0063,-0.0079,-0.1066,-0.076,0.086,0.0253,0.1197,-0.0472,-0.0426,0.0997,-0.0925,0.0526,0.1231,0.0313,0.1614,-0.1304,0.1297,0.0926,-0.136,-0.0171,-0.006,0.1151,0.064,-0.0503,-0.0366,0.0861,-0.0301,0.153,-0.0027
01-04-2011,0.1225,0.0106,-0.0226,-0.1034,-0.08,0.1033,0.0472,0.0909,-0.0255,-0.0492,0.0731,-0.1259,0.0738,0.085,0.0469,0.1659,-0.1167,0.1134,0.1106,-0.1205,0.007,0.0146,0.1254,0.0505,-0.0566,-0.0311,0.0718,-0.0144,0.1429,-0.0332
02-05-2011,0.1003,-0.0439,-0.0008,-0.1111,-0.1058,0.0785,0.0248,0.0689,-0.0646,-0.0842,0.0346,-0.1549,0.0515,0.0757,0.0414,0.1297,-0.1305,0.1242,0.0875,-0.1062,-0.041,-0.003,0.0837,0.0388,-0.0984,-0.0316,0.0406,-0.0119,0.1185,-0.0052
01-06-2011,0.1252,0.0365,0.0777,-0.0806,-0.0547,0.1615,0.0868,0.1339,-0.0455,-0.0287,0.0696,-0.0797,0.1312,0.0872,0.1378,0.1604,-0.0725,0.1446,0.1105,-0.0467,0.027,0.0326,0.0909,0.1135,-0.064,0.0211,0.1009,0.0246,0.1045,0.0318
01-07-2011,0.012,-0.0272,-0.0274,-0.1912,-0.1482,0.1354,0.005,0.0616,-0.0963,-0.1117,-0.0348,-0.147,0.0451,0.0101,0.0412,0.0635,-0.1379,0.0483,0.0441,-0.1222,-0.0274,-0.0915,-0.0027,0.057,-0.1561,-0.097,0.0306,-0.0948,0.0099,-0.0701
01-08-2011,-0.0982,-0.1535,-0.0773,-0.2789,-0.2354,0.0542,-0.0678,-0.0244,-0.2029,-0.1933,-0.1356,-0.2744,-0.0765,-0.0788,-0.0368,-0.0663,-0.2377,0.0229,-0.065,-0.185,-0.1175,-0.122,-0.0886,-0.1069,-0.2354,-0.1779,-0.1616,-0.1488,-0.0882,-0.1551
02-09-2011,-0.2715,-0.2923,-0.2274,-0.4056,-0.4129,-0.1402,-0.2124,-0.2264,-0.3211,-0.3131,-0.3192,-0.4157,-0.2597,-0.2494,-0.2293,-0.2831,-0.3589,-0.1715,-0.2256,-0.3063,-0.3169,-0.2827,-0.2368,-0.2897,-0.3986,-0.3741,-0.3375,-0.3123,-0.2844,-0.318
