Date,ICICIPru_Dynamic_Plan,ICICIPru_Export_And_Services,Tata_Ethical_Fund,Principal_Growth_Fund,Birla_Equity_Fund,Birla_India_GenNext_Fund,HSBC_India_Opp_Fund,Reliance_Equity_Opp_Fund,SBI_Magnum_Multipler_Plus,Birla_Advantage_Fund,DSPBR_Opp_Fund,DWS_Inv_Opp_Fund,Franklin_India_FlexiCap,HDFC_Capital_Builder_Fund,Franklin_India_PrimaPlus,HDFC_Equity,SBI_Magnum_Multicap,Tata_Dividend_Yield,Taurus_Starshare,Tata_Equity_Opp_Fund,UTI_Service_Industries,Tata_Equity_PE,Birla_Dividend_Yield_Plus,HDFC_Premier_Multicap,Reliance_Growth_Fund,Reliance_Regular_Savings_Equity,HDFC_Core_Satellite_Fund,Reliance_Vision_Fund,HDFC_Growth_Fund,Franklin_India_Growth_Fund
01-12-2008,45.2262,8.1600,25.2443,25.7600,120.5200,11.8800,18.7393,12.5604,36.1500,74.0200,37.1230,18.6700,13.6790,43.9600,102.2357,99.6370,8.9900,12.4898,23.0100,36.1882,27.0000,18.7281,33.8200,11.2950,197.3342,12.1083,14.7490,126.4944,39.4510,48.5830
01-01-2009,52.3357,9.2700,28.9169,28.5000,136.6600,12.6200,20.4283,14.4446,40.6900,83.2800,41.0850,21.0100,15.4772,48.8860,113.7960,114.5220,10.0100,14.3561,27.4400,40.8712,30.2200,21.9178,37.0300,13.0560,220.8623,14.0544,17.2000,141.3063,42.3700,53.3717
02-02-2009,47.8973,8.0900,26.7170,26.9200,120.5100,11.6000,19.1128,12.6296,37.5700,73.4500,38.4210,19.2500,13.8553,44.8910,103.2262,101.2430,9.0400,13.3959,24.0700,36.3070,27.0200,19.8841,35.4800,11.6700,199.6838,12.4780,15.2860,126.6320,37.6100,49.3130
02-03-2009,45.8666,7.5000,25.8013,26.0800,114.0100,11.1600,18.4312,12.0044,36.9800,69.1100,37.1780,18.5500,13.1330,42.3530,98.9246,96.2250,8.7000,12.7149,22.4800,35.2043,25.3100,18.6803,34.0200,11.0570,190.4668,11.7927,14.4400,121.6045,35.6500,46.6351
01-04-2009,50.3097,8.3300,29.3519,28.7200,127.0700,11.9300,19.8927,13.6700,40.7100,77.9100,40.8540,20.3100,14.8506,46.8720,110.3357,110.1480,9.7700,14.1004,25.2000,38.8180,27.7700,21.3200,35.9700,12.1150,210.5077,13.7106,16.1740,136.3464,39.0150,54.9476
04-05-2009,58.7319,10.2600,33.0209,33.5700,152.8700,13.5900,22.9259,16.0873,47.2400,94.3200,47.6550,23.5400,17.8551,54.9920,128.2663,132.9500,11.5500,16.1936,29.5500,43.7564,33.2600,24.7082,40.4900,14.4090,253.2147,16.0661,19.3860,158.7026,46.0830,65.3341
01-06-2009,68.7641,12.3900,42.6851,40.3200,199.3500,16.2100,26.9475,20.2602,59.6100,126.5300,59.0000,28.8900,22.4744,67.6870,160.9681,170.3670,14.3400,19.8386,43.6500,57.8752,40.5600,31.5885,52.9200,18.7990,331.4914,21.8302,25.3670,201.0272,57.3960,81.1023
01-07-2009,69.7405,12.5300,42.1096,40.3700,196.9800,16.3000,27.1520,20.3688,59.1600,123.7000,59.0580,28.6300,22.5094,69.9840,156.0407,174.8530,14.2600,20.3172,43.1100,56.7465,41.7000,31.0373,51.8400,18.8090,328.0187,21.5927,25.1950,197.9088,57.7560,80.5753
03-08-2009,76.1013,13.8100,48.9824,44.1600,213.1500,17.7600,29.0273,22.4047,64.5100,132.1800,65.3600,31.2000,24.7419,78.1890,167.0462,189.0730,15.4500,22.6514,44.7700,64.3761,45.3300,35.6913,57.5600,20.8350,356.7701,23.5235,28.0520,216.8639,62.3930,90.4073
01-09-2009,77.7843,13.8900,50.2723,43.9800,213.7700,17.9400,28.9537,22.9214,64.1200,132.6600,65.3150,31.2400,24.6296,77.9850,168.6550,190.9010,15.3300,22.7682,44.1800,66.1246,46.6500,36.5886,59.9900,20.9060,362.3888,23.5972,28.1510,214.3369,62.6370,88.9560
