Date,Birla Sun Life Advantage Fund,Birla Sun Life Dividend Yield Plus,Birla Sun Life Equity Fund,Birla Sun Life India GenNext Fund,Birla Sun Life Special Situations Fund,DSP BR Equity Fund,DSP BR Focus 25 Fund,DSP BR Opportunities Fund,DWS Investment Opportunity Fund,Franklin India Flexi Cap Fund,Franklin India High Growth Companies Fund,Franklin India Prima Plus,HDFC Capital Builder,HDFC Core & Satellite Fund,HDFC Equity Fund,HDFC Growth Fund,HDFC Premier Multi-Cap Fund,HSBC India Opportunities Fund,ICICI Pru Dynamic Plan,ICICI Pru Exports and Other Services Fund,IDFC Classic Equity Fund Plan A,Kotak Select Focus Fund,L&T India Special Situations Fund,Mirae Asset India Opportunities Fund,PineBridge India Equity Fund Standard Plan,Principal Growth Fund,Reliance Equity Opportunities Fund,Reliance Growth Fund,Reliance Regular Savings Fund Equity,Reliance Top 200 Fund,Reliance Vision Fund,SBI Contra Fund,SBI Magnum Multicap Fund,SBI Magnum Multiplier Plus 93,SBI PSU Fund,Sundaram PSU Opportunities Fund,Tata Dividend Yield Fund,Tata Equity Opportunities Fund,Tata Equity P/E Fund,Tata Ethical Fund,Taurus Starshare,Templeton India Growth Fund,UTI-MNC Fund,UTI-Services Industries Fund
01-01-2006,92.48,37.97,126.52,12.07,,,,39.06,15.99,14.84,,92.08,51.96,18.82,107.01,33.59,14.08,19.36,41.57,10.48,12.09,,,,,38.16,14.34,189.18,10.03,,125.97,24.92,11.11,36.06,,,14.95,42.1,19.59,51.93,28.19,50.1,29.82,36.77
01-02-2006,98.4,39.2,134.57,12.68,,,,41.66,16.83,15.78,,98.45,53.45,20.53,112.48,35.61,14.99,20.08,44.14,10.78,12.43,,,,,41.13,15.32,201.18,10.23,,132.87,26.89,11.84,39.72,,,15.36,45.55,20.44,57.67,30.11,50.96,32.07,38.19
01-03-2006,103.7,40.41,142.33,13.18,,,,44.4,18.17,17.02,,105.74,56.14,21.65,119.5,37.15,15.59,20.83,47.53,11.06,13.24,,,,,43.05,16.29,210.22,10.62,,141.83,29.08,12.74,42.45,,,16.14,49.06,21.37,61.33,32.38,53.84,34.18,39.08
01-04-2006,113.71,42.65,155.69,14.05,,,,48.3,20.25,18.3,,113.29,60.17,23.82,127.15,41.24,16.75,23.05,53.36,11.76,14.22,,,,,47.36,18.48,229.76,11.86,,155.75,32.26,13.96,46.34,,,16.88,53.7,22.89,69.48,34.17,58.76,36.72,40.78
01-05-2006,113.89,42.88,158.59,13.94,,,,50.19,21.89,19.12,,118.47,65.15,25.51,130.61,43.13,17.23,25.48,57.66,12.18,15.01,,,,,48.77,19.36,247.31,13.37,,165.65,35.14,14.47,48.27,,,17.1,57.15,24.01,71.94,37.5,61.96,35.96,41.18
01-06-2006,96.08,36.27,133.81,11.83,,,,42.71,17.86,16.38,,99.08,54.92,21.11,112.33,36.55,14.45,21.6,48.78,10.96,12.19,,9.38,,,40.66,16.45,215.11,11.52,,136.11,29.57,12.39,41.31,,,14.77,47.24,20.06,59.86,30.82,52.36,30.55,36
01-07-2006,95.44,35.45,130.63,11.43,,,,43.09,17.69,16.13,,100.29,50.41,20.8,113.82,36.03,14.35,21.34,47.38,9.97,12.39,,9.17,,,39.89,16.32,199.52,11.09,,137.65,28.99,12.23,39.72,,,14.32,45.42,19.66,57.88,28.81,52.01,28.65,34.53
01-08-2006,96.62,34.99,131.54,11.57,,,,43.12,17.61,16.26,,102.4,49.58,20.5,115.65,37.31,14.33,20.85,47.6,10.07,12.16,,9.41,,,39.18,15.96,193.2,11.47,,138.71,28.6,12.19,40.07,,,14.43,44.4,19.5,58.3,28.44,52.19,28.44,35.31
01-09-2006,106.31,39.21,147.46,13,,,,47.2,19.78,18.19,,113.03,54.2,22.53,128.06,40.93,15.91,23.51,53.18,11.23,13.26,,10.58,,,42.83,17.99,218.12,13.29,,152.2,31.7,13.42,44.42,,,16.02,48.85,21.52,65.04,32.17,58.04,31.75,38.98
01-10-2006,111.84,41.11,158.44,13.92,,,,49.44,20.97,19.11,,119.48,57.28,23.68,133.81,43.45,16.61,24.47,55.82,12.09,13.9,,11.35,,,45.35,18.74,234.8,14.21,,160.53,33.43,14.18,46.26,,,16.88,51.18,22.69,68.49,35.05,60.32,32.89,41.29
