Date,Birla Sun Life Equity Fund,DSP BR Opportunities Fund,Franklin India Prima Plus,HDFC Capital Builder,HDFC Equity Fund,HDFC Growth Fund,Principal Growth Fund,Reliance Growth Fund,Reliance Vision Fund,SBI Contra Fund,Tata Ethical Fund,Taurus Starshare,UTI-MNC Fund,UTI-Services Industries Fund
01-02-2008,254.44,76.08,186.9,88.58,191.08,69.64,65.64,393.61,251.86,52.36,105.32,66.26,37.49,63.2
01-03-2008,246.07,72.62,178.67,87.44,187.59,67.83,62.61,380.05,240.47,51.5,104.39,59.32,38.25,60.08
01-04-2008,211.51,63.06,157.85,74.98,164.84,62.03,52.27,332.2,205.96,45.38,89.82,51,34.8,50.29
01-05-2008,230.01,68.48,173.77,79.42,178.19,66.2,56.75,369.86,221.46,49.38,96.28,56.07,36.8,54.7
01-06-2008,220.88,64.51,167.15,75.07,169.61,62.81,54.21,353.64,211.84,46.83,89.47,51.52,36.21,51.03
01-07-2008,172.22,51.5,132.92,62.06,138.42,51.61,42.32,291.42,165.97,38.66,68.78,40.04,30.05,39.02
01-08-2008,188.61,57.44,146.09,68.31,154.56,57.96,46.29,322.7,185.42,41.72,74.36,45.75,33.12,44.45
01-09-2008,189.22,57.08,149.86,70.22,159.23,58.99,45.94,318.65,185.75,41.41,73.37,45.08,33.68,44.19
01-10-2008,170.79,51.53,141.23,63.88,147.1,55.17,39.98,283.29,168.6,37.4,63.59,38.02,31.07,39.3
01-11-2008,131.78,39.83,109.08,47.59,110.32,42.28,29.09,218.28,133.55,28.15,44.5,26.07,26.19,29.83
01-12-2008,120.52,37.12,102.24,43.96,99.64,39.45,25.76,197.33,126.49,26.55,40.85,23.01,24.48,27
01-01-2009,136.66,41.09,113.8,48.89,114.52,42.37,28.5,220.86,141.31,29.85,46.79,27.44,26.59,30.22
01-02-2009,124.15,39.21,105.67,45.56,103.75,38.44,27.46,202.78,130.5,28.4,43.79,24.78,26.08,27.9
01-03-2009,116.92,38.06,101.12,43.34,98.16,36.43,26.83,194.14,124.65,27.17,42.42,22.95,26.02,25.96
01-04-2009,127.07,40.85,110.34,46.87,110.15,39.02,28.72,210.51,136.35,30.12,47.5,25.2,27.49,27.77
01-05-2009,145.45,45.78,123.73,53.01,127.1,44.13,32.39,242.88,150.8,34.13,52.14,28.49,29.8,31.66
01-06-2009,199.35,59,160.97,67.69,170.37,57.4,40.32,331.49,201.03,45.69,69.07,43.65,35.63,40.56
