Date,Franklin India Bluechip Fund - (G),Franklin India Opportunities Fund - (G),HDFC Large Cap Fund (G),HDFC Top 200 Fund (G),ICICI Pru Top 100 Fund - (G),ICICI Pru Top 200 Fund - (G),LIC NOMURA MF Equity Fund - (G),Sundaram Growth Fund - (G),Tata Pure Equity Fund - (G),UTI-Equity Fund (G),UTI-MasterPlus (G),UTI-Mastershare (G),UTI-Top 100 Fund (G)
01-07-2009,306.31,24.67,64.32,145.28,99.21,79.97,21.63,94.42,156.34,36.28,93.52,131.67,79.01
01-08-2009,322.21,25.92,68.14,156.61,105.46,85.64,22.82,103.75,168.39,40.22,98.76,142,83.68
01-09-2009,324.33,25.98,68.62,157.16,106.81,86.65,22.88,105.86,168.57,41.36,98.47,142.1,83.93
01-10-2009,349.61,28.12,74.24,171.85,116.74,94.84,24.75,114.75,181.38,45.03,107.71,155.3,91.25
01-11-2009,335.42,26.77,71.12,166.12,111.17,90.45,22.89,107.58,178.02,43.72,100.61,147.52,86.23
01-12-2009,363.65,29.15,76.77,178.98,120.17,98.98,24.68,116.96,194.58,47.86,108.44,159.06,93.9
01-01-2010,371.38,29.6,78.04,180.46,123.01,100.79,25.07,119.46,196.28,48.68,110.6,163.03,95.18
01-02-2010,363.95,27.97,74.95,173.93,116.66,96.14,23.99,112.59,191.65,46.69,104.6,155.63,90.05
01-03-2010,365.4,27.64,75.13,173.61,116.96,96.53,23.6,110.74,189.8,46.22,104.04,156.51,89.69
01-04-2010,390.01,29.73,80.98,184.92,125.53,103.44,25.11,117.21,202.22,48.59,109.81,166.3,95.11
01-05-2010,390.82,29.89,82.02,187.89,124.74,105.75,25.17,119.18,203.7,48.92,109.09,166.5,95.74
01-06-2010,372.01,27.98,77.24,181.95,118.42,99.44,23.88,112.78,195.13,47.24,104.24,159.33,89.34
01-07-2010,390.06,29.47,81.06,192.97,123.68,105.46,25.59,119.12,208.44,50,111.08,168.79,94.19
01-08-2010,403.08,30.62,83.95,199.28,128.15,109.11,25.84,123.76,215.04,50.75,113.86,171.88,95.88
01-09-2010,416.82,31.85,87.26,207.33,129.69,111.48,26.48,130.32,221.13,52.56,117.9,177.57,100.06
01-10-2010,456.82,34.48,95.28,227.95,143.29,123.9,29.41,141.64,241.71,57.95,130.05,195.24,108.76
01-11-2010,452.09,34.96,96.79,229.98,143.31,124.02,29.31,142.05,238.76,58.85,130.45,193.82,108.86
01-12-2010,448.59,34.05,94.52,226.02,140.31,120.8,28.46,142.05,235.61,57.96,128.29,189.28,106.71
01-01-2011,456.66,33.9,94.15,225.66,144.59,122.74,29.08,140.47,233.49,58.66,129.01,193.15,107.45
01-02-2011,411.87,30.16,82.06,202.44,130.36,107.39,25.79,123.83,205.85,52.36,115.12,173.33,97.05
01-03-2011,418.55,30.36,81.15,204.03,133.04,108.92,25.86,122.27,203.95,52.73,116.49,175.45,97.72
01-04-2011,438.44,31.73,85.57,214.84,138.98,116.16,27.24,127.73,212.86,55.56,122.51,184.94,103.59
01-05-2011,436.33,31.32,85.29,215.23,138.84,114.91,26.87,128.83,214.55,55.65,122.7,185.34,102.85
01-06-2011,430.04,30.89,83.03,210.44,135.16,112.23,26.15,125.89,211.21,54.57,119.28,182.08,100.55
01-07-2011,432.58,31.16,83.2,211.83,134.99,112.03,26.3,125.91,212.9,55.32,120.71,183.83,101.47
01-08-2011,427.21,30.99,81.91,208.82,133.52,110.07,25.75,125.85,211.36,55.33,119.87,182.42,100.09
